1,2,3,4,5,6,7,8,9,10
2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11.3,11.8,12.3,12.8,13.2,13.6,14.3,14.8,15.6,16.5
5728780, 6008757, 6279872, 6549277, 6801505, 7031367, 7382628, 7680143, 8075536, 8542313
